"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"Waldorf University","Iowa","IA","Private","4 Year",7524,22076,29600,22076,29600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Walla Walla Community College","Washington","WA","Public","2 Year",NA,5041,5041,6319,6319,4851,NA,NA,NA,NA,NA,2111,96,36,261,783,27,3032,201,408,7,1404
"Walla Walla University","Washington","WA","Private","4 Year",4275,28035,32310,28035,32310,1887,11,53700,97800,54,22,1020,22,122,55,234,8,1344,5,84,13,446
"Wallace State Community College at Hanceville","Alabama","AL","Public","2 Year",4600,4740,9340,8610,13210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Walsh College of Accountancy and Business Administration","Michigan","MI","Private","4 Year",NA,17625,17625,17625,17625,2753,20,49400,85200,42,5,1352,8,125,283,68,1,2100,31,38,99,516
"Walsh University","Ohio","OH","Private","4 Year",10680,29980,40660,29980,40660,2919,NA,NA,NA,NA,NA,1850,12,19,167,73,2,2148,59,378,61,332
"Walters State Community College","Tennessee","TN","Public","2 Year",NA,4428,4428,13194,13194,6005,NA,NA,NA,NA,NA,3611,10,42,129,171,0,5488,95,15,55,447
"Warner Pacific University","Oregon","OR","Private","4 Year",9630,18740,28370,18740,28370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warner University","Florida","FL","Private","4 Year",8520,21840,30360,21840,30360,1161,NA,NA,NA,NA,NA,578,3,11,466,151,9,447,24,29,21,664
"Warren County Community College","New Jersey","NJ","Public","2 Year",NA,4980,4980,5880,5880,2573,NA,NA,NA,NA,NA,1460,10,62,107,163,0,1360,0,871,0,342
"Warren Wilson College","North Carolina","NC","Private","4 Year",10980,36280,47260,36280,47260,890,NA,NA,NA,NA,NA,553,9,13,31,49,0,714,29,27,18,131
"Wartburg College","Iowa","IA","Private","4 Year",9996,41280,51276,41280,51276,1661,12,49300,88000,49,34,870,1,20,80,42,1,1290,36,29,162,180
